"Y_M","Region.2","n.tows","mysids","size","IDs","n.sights","IDskm","Year","Y_M_Reg"
"2019_08","Ocean",6,2.5,9.7916666665,6,12,0.162162162162162,2019,"2019_08 Ocean"
"2019_08","Strait",7,119.571428571429,7.9654961826,1,2,0.037037037037037,2019,"2019_08 Strait"
"2019_09","Ocean",12,50.1666666666667,7.87592775545455,8.75,44,0.236486486486486,2019,"2019_09 Ocean"
"2019_09","Strait",12,301.416666666667,5.2295100604,2,8,0.0740740740740741,2019,"2019_09 Strait"
"2019_10","Ocean",6,21.5,9.38238813266667,8.66666666666667,32,0.234234234234234,2019,"2019_10 Ocean"
"2019_10","Strait",7,388.571428571429,6.8218020695,5.25,25,0.194444444444444,2019,"2019_10 Strait"
"2019_11","Ocean",1,3,3.333333333,11,12,0.297297297297297,2019,"2019_11 Ocean"
"2019_11","Strait",7,327.285714285714,6.22984909814286,4.66666666666667,15,0.17283950617284,2019,"2019_11 Strait"
"2020_07","Ocean",16,0,NA,6.33333333333333,23,0.171171171171171,2020,"2020_07 Ocean"
"2020_07","Strait",21,227.142857142857,12.1629051713333,5.14285714285714,45,0.19047619047619,2020,"2020_07 Strait"
"2020_08","Ocean",12,0,NA,0,0,0,2020,"2020_08 Ocean"
"2020_08","Strait",9,0.777777777777778,4.285714286,5,10,0.185185185185185,2020,"2020_08 Strait"
"2020_09","Ocean",6,0,NA,0,0,0,2020,"2020_09 Ocean"
"2020_09","Strait",12,0,NA,4,4,0.148148148148148,2020,"2020_09 Strait"
