Date,Whales,Month,Year,Year_Month,Unique.Daily,Unique.Feed,Estrait.f,Wstrait.f,Ocean.f
20190603,0,6,2019,2019_6,0,0,0,0,0
20190706,1,7,2019,2019_7,0,0,0,0,0
20190709,1,7,2019,2019_7,1,1,1,0,0
20190712,6,7,2019,2019_7,5,4,0,0,5
20190722,1,7,2019,2019_7,1,1,1,0,0
20190725,6,7,2019,2019_7,4,4,0,1,4
20190730,0,7,2019,2019_7,1,1,0,1,0
20190807,10,8,2019,2019_8,7,6,0,1,6
20190819,9,8,2019,2019_8,6,6,0,0,6
20190820,1,8,2019,2019_8,1,1,1,0,0
20190830,1,8,2019,2019_8,1,1,1,0,0
20190903,5,9,2019,2019_9,3,3,0,0,3
20190904,17,9,2019,2019_9,8,8,0,1,7
20190910,1,9,2019,2019_9,1,1,0,1,0
20190911,16,9,2019,2019_9,13,13,0,0,13
20190919,3,9,2019,2019_9,2,2,2,0,0
20190920,22,9,2019,2019_9,15,12,0,0,15
20190930,8,9,2019,2019_9,5,4,5,0,0
20191001,21,10,2019,2019_10,14,13,2,3,10
20191010,23,10,2019,2019_10,14,14,2,2,10
20191014,9,10,2019,2019_10,7,5,4,4,0
20191031,21,10,2019,2019_10,16,14,1,7,8
20191106,5,11,2019,2019_11,4,4,4,0,0
20191107,28,11,2019,2019_11,18,15,0,6,12
20191121,9,11,2019,2019_11,6,6,5,2,0
20200605,6,6,2020,2020_6,3,0,3,1,0
20200618,12,6,2020,2020_6,10,10,10,0,0
20200626,5,6,2020,2020_6,5,5,2,2,1
20200708,3,7,2020,2020_7,3,3,3,0,0
20200709,17,7,2020,2020_7,16,9,0,2,14
20200714,13,7,2020,2020_7,10,9,0,0,10
20200716,5,7,2020,2020_7,5,4,5,0,0
20200720,4,7,2020,2020_7,4,1,1,2,1
20200724,10,7,2020,2020_7,10,9,10,0,0
20200726,12,7,2020,2020_7,11,9,11,0,0
20200727,13,7,2020,2020_7,10,9,10,0,0
20200731,7,7,2020,2020_7,3,1,0,1,2
20200802,14,8,2020,2020_8,9,9,9,0,0
20200805,5,8,2020,2020_8,4,0,4,0,0
20200813,0,8,2020,2020_8,0,0,0,0,0
20200814,1,8,2020,2020_8,1,1,1,0,0
20200819,0,8,2020,2020_8,0,0,0,0,0
20200824,0,8,2020,2020_8,0,0,0,0,0
20200902,1,9,2020,2020_9,1,0,1,0,0
20200925,4,9,2020,2020_9,4,4,4,0,0
20200930,0,9,2020,2020_9,0,0,0,0,0
20201119,3,11,2020,2020_11,3,3,3,0,0
20201128,1,11,2020,2020_11,1,1,1,0,0
